
"UCL_CODE_2016"	"UCL_NAME_2016"	"Latitude"	"Longitude"
"UCL101001"	"Sydney"	-33.848244	150.931975
"UCL102001"	"Canberra - Queanbeyan (Queanbeyan Part)"	-35.368869	149.218191
"UCL102002"	"Central Coast"	-33.346647	151.439927
"UCL102003"	"Gold Coast - Tweed Heads (Tweed Heads Part)"	-28.222359	153.522619
"UCL102004"	"Newcastle"	-32.959047	151.6897
"UCL102005"	"Wollongong"	-34.439971	150.840415
"UCL111001"	"Albury - Wodonga (Albury Part)"	-36.065363	146.946241
"UCL111002"	"Maitland (NSW)"	-32.74788	151.58967
"UCL112001"	"Armidale"	-30.513083	151.665906
"UCL112002"	"Bathurst"	-33.407826	149.591262
"UCL112003"	"Blue Mountains"	-33.727387	150.428747
"UCL112004"	"Bowral - Mittagong"	-34.474013	150.455351
"UCL112005"	"Cessnock"	-32.827146	151.349405
"UCL112006"	"Coffs Harbour"	-30.297413	153.098554
"UCL112007"	"Dubbo"	-32.241433	148.608379
"UCL112008"	"Goulburn"	-34.744695	149.723753
"UCL112009"	"Lismore"	-28.818989	153.294996
"UCL112010"	"Mildura - Buronga (Buronga Part)"	-34.171623	142.203104
"UCL112011"	"Nowra - Bomaderry"	-34.879514	150.593839
"UCL112012"	"Orange"	-33.274838	149.101308
"UCL112013"	"Port Macquarie"	-31.449829	152.917085
"UCL112014"	"Tamworth"	-31.09926	150.919171
"UCL112015"	"Wagga Wagga"	-35.139868	147.364037
"UCL113001"	"Ballina"	-28.858854	153.560173
"UCL113002"	"Batemans Bay"	-35.734771	150.191169
"UCL113003"	"Broken Hill"	-31.965064	141.454742
"UCL113004"	"Echuca - Moama (Moama Part)"	-36.092063	144.732198
"UCL113005"	"Forster - Tuncurry"	-32.190596	152.520302
"UCL113006"	"Grafton"	-29.706226	152.928092
"UCL113007"	"Griffith"	-34.273556	146.049587
"UCL113008"	"Kempsey"	-31.074863	152.83798
"UCL113009"	"Kiama"	-34.658089	150.847937
"UCL113010"	"Kurri Kurri"	-32.804777	151.463739
"UCL113011"	"Lithgow"	-33.47546	150.154747
"UCL113012"	"Morisset - Cooranbong"	-33.102459	151.493985
"UCL113013"	"Mudgee"	-32.60018	149.571407
"UCL113014"	"Muswellbrook"	-32.265117	150.895113
"UCL113015"	"Nelson Bay"	-32.72529	152.139422
"UCL113016"	"Raymond Terrace"	-32.767855	151.741916
"UCL113017"	"Singleton"	-32.554432	151.16238
"UCL113018"	"St Georges Basin - Sanctuary Point"	-35.093734	150.607467
"UCL113019"	"Taree"	-31.891687	152.466163
"UCL113020"	"Ulladulla"	-35.356232	150.458331
"UCL114001"	"Alstonville"	-28.838052	153.442834
"UCL114002"	"Anna Bay - Boat Harbour"	-32.771816	152.095962
"UCL114003"	"Byron Bay"	-28.654698	153.602844
"UCL114004"	"Camden Haven"	-31.639711	152.821696
"UCL114005"	"Casino"	-28.863303	153.047897
"UCL114006"	"Cooma"	-36.232499	149.132955
"UCL114007"	"Cootamundra"	-34.63516	148.025253
"UCL114008"	"Corowa - Wahgunyah (Corowa Part)"	-36.009681	146.375472
"UCL114009"	"Cowra"	-33.836476	148.676096
"UCL114010"	"Deniliquin"	-35.541506	144.955608
"UCL114011"	"Forbes"	-33.387045	147.999946
